SampleID	Stemness	EXTENDScores	Phase	Senescence	ClusterNo	ClusterMean	EXTENDclass
HN26_P14_C12_S228_comb	0.7577534	0.471831947	G2_M	0.303559397560431	2	0.532642676004338	High
HN26_P14_D04_S232_comb	0.52660682	0.395551931	NonCycling	0.311863200411641	1	0.27526248594617	Low
HN26_P14_D05_S233_comb	0.663831599	0.535602336	G2_M	0.325247977901939	2	0.532642676004338	High
HN26_P14_D06_S234_comb	0.577682984	0.300320593	NonCycling	0.294187761005989	1	0.27526248594617	Low
HN26_P14_D10_S238_comb	0.555173751	0.252966008	NonCycling	0.251029172243246	1	0.27526248594617	Low
HN26_P14_D11_S239_comb	0.706260014	0.187018894	NonCycling	0.239776806024203	1	0.27526248594617	Low
HN26_P14_F02_S254_comb	0.633764961	0.356683197	G2_M	0.362642912716977	1	0.27526248594617	Low
HN26_P14_F03_S255_comb	0.647572251	0.374507525	NonCycling	0.283416091357372	1	0.27526248594617	Low
HN26_P14_F10_S262_comb	0.701873273	0.503054596	NonCycling	0.381754228165187	2	0.532642676004338	High
HN26_P14_H03_S279_comb	0.550812771	0.402270291	NonCycling	0.26426321857051	1	0.27526248594617	Low
HN26_P14_H06_S282_comb	0.746825419	0.475312825	G2_M	0.299596868616098	2	0.532642676004338	High
HN26_P25_A01_S97_comb	0.655369207	0.386744066	G2_M	0.317600636919861	1	0.27526248594617	Low
HN26_P25_A03_S99_comb	0.630750622	0.569037317	G1_S	0.350256247507233	2	0.532642676004338	High
HN26_P25_A05_S101_comb	0.732071316	0.337709125	NonCycling	0.246213055360999	1	0.27526248594617	Low
HN26_P25_A08_S104_comb	0.56608243	0.288686035	NonCycling	0.472239042230627	1	0.27526248594617	Low
HN26_P25_A12_S108_comb	0.596549317	0.212458925	NonCycling	0.299588258601915	1	0.27526248594617	Low
HN26_P25_B03_S111_comb	0.577049869	0.529753425	NonCycling	0.320331686887864	2	0.532642676004338	High
HN26_P25_B05_S113_comb	0.592537421	0.37018816	NonCycling	0.305969595491784	1	0.27526248594617	Low
HN26_P25_B07_S115_comb	0.635408646	0.23486049	NonCycling	0.259000248123153	1	0.27526248594617	Low
HN26_P25_B08_S116_comb	0.518704978	0.495706096	NonCycling	0.327108626587903	2	0.532642676004338	High
HN26_P25_B10_S118_comb	0.494673046	0.217332249	NonCycling	0.313210196582398	1	0.27526248594617	Low
HN26_P25_C02_S122_comb	0.641914504	0.329703497	NonCycling	0.247065685069138	1	0.27526248594617	Low
HN26_P25_C04_S124_comb	0.513526271	0.221249513	NonCycling	0.423234078663066	1	0.27526248594617	Low
HN26_P25_C07_S127_comb	0.642831813	0.317485759	NonCycling	0.263130287483661	1	0.27526248594617	Low
HN26_P25_C09_S129_comb	0.571159565	0.483978844	NonCycling	0.350070374797749	2	0.532642676004338	High
HN26_P25_C12_S132_comb	0.639326473	0.35116022	NonCycling	0.238319111501851	1	0.27526248594617	Low
HN26_P25_D02_S134_comb	0.575629636	0.349855979	NonCycling	0.273579080693025	1	0.27526248594617	Low
HN26_P25_D05_S137_comb	0.54693601	0.342390019	NonCycling	0.18490277874982	1	0.27526248594617	Low
HN26_P25_D08_S140_comb	0.602297055	0.182158053	NonCycling	0.306499125836602	1	0.27526248594617	Low
HN26_P25_E02_S146_comb	0.662987024	0.205344007	NonCycling	0.248352566974333	1	0.27526248594617	Low
HN26_P25_E03_S147_comb	0.578194748	0.369355122	NonCycling	0.262923885612624	1	0.27526248594617	Low
HN26_P25_E04_S148_comb	0.631175467	0.268603579	NonCycling	0.333580999814853	1	0.27526248594617	Low
HN26_P25_F02_S158_comb	0.612634721	0.20939811	NonCycling	0.31064413231009	1	0.27526248594617	Low
