SampleID	EXTENDScores	Samples	Tissues	SenescenceScores	EXTENDclass
NCIH2023_LUNG	0.578	NCIH2023	Lung	1.203	High
NCIH2029_LUNG	0.433	NCIH2029	Lung	0.659	Low
NCIH2030_LUNG	0.601	NCIH2030	Lung	1.141	High
NCIH2052_PLEURA	0.402	NCIH2052	Pleura	1.251	Low
NCIH2066_LUNG	0.575	NCIH2066	Lung	0.855	High
NCIH2073_LUNG	0.571	NCIH2073	Lung	1.194	High
NCIH2077_LUNG	0.898	NCIH2077	Lung	0.766	High
NCIH2081_LUNG	0.520	NCIH2081	Lung	0.599	Low
NCIH2085_LUNG	0.600	NCIH2085	Lung	1.091	High
NCIH2087_LUNG	0.606	NCIH2087	Lung	1.046	High
NCIH209_LUNG	0.771	NCIH209	Lung	0.520	High
NCIH2106_LUNG	0.821	NCIH2106	Lung	0.619	High
NCIH211_LUNG	0.619	NCIH211	Lung	0.643	High
NCIH2110_LUNG	0.404	NCIH2110	Lung	1.044	Low
NCIH2122_LUNG	0.544	NCIH2122	Lung	1.111	High
NCIH2126_LUNG	0.312	NCIH2126	Lung	0.951	Low
NCIH2170_LUNG	0.750	NCIH2170	Lung	0.919	High
NCIH2171_LUNG	0.616	NCIH2171	Lung	0.552	High
NCIH2172_LUNG	0.499	NCIH2172	Lung	1.079	Low
NCIH2196_LUNG	0.521	NCIH2196	Lung	0.728	Low
NCIH2227_LUNG	0.497	NCIH2227	Lung	0.544	Low
NCIH2228_LUNG	0.287	NCIH2228	Lung	1.330	Low
NCIH226_LUNG	0.496	NCIH226	Lung	1.193	Low
NCIH2286_LUNG	0.770	NCIH2286	Lung	1.149	High
NCIH2291_LUNG	0.548	NCIH2291	Lung	1.220	High
NCIH23_LUNG	0.678	NCIH23	Lung	1.163	High
NCIH2342_LUNG	0.604	NCIH2342	Lung	0.831	High
NCIH2347_LUNG	0.595	NCIH2347	Lung	1.122	High
NCIH2405_LUNG	0.455	NCIH2405	Lung	1.320	Low
NCIH2444_LUNG	0.364	NCIH2444	Lung	1.308	Low
NCIH2452_PLEURA	0.376	NCIH2452	Pleura	1.202	Low
NCIH28_PLEURA	0.571	NCIH28	Pleura	0.887	High
NCIH2882_LUNG	0.656	NCIH2882	Lung	1.063	High
NCIH2887_LUNG	0.547	NCIH2887	Lung	1.189	High
NCIH292_LUNG	0.565	NCIH292	Lung	1.223	High
NCIH3122_LUNG	0.671	NCIH3122	Lung	1.005	High
NCIH322_LUNG	0.591	NCIH322	Lung	1.049	High
NCIH3255_LUNG	0.507	NCIH3255	Lung	1.083	Low
NCIH358_LUNG	0.616	NCIH358	Lung	1.012	High
NCIH441_LUNG	0.596	NCIH441	Lung	1.033	High
NCIH446_LUNG	0.552	NCIH446	Lung	0.686	High
NCIH460_LUNG	0.607	NCIH460	Lung	1.039	High
NCIH508_LARGE_INTESTINE	0.395	NCIH508	LargeIntestine	0.901	Low
NCIH510_LUNG	0.604	NCIH510	Lung	0.670	High
NCIH520_LUNG	0.488	NCIH520	Lung	0.767	Low
NCIH522_LUNG	0.643	NCIH522	Lung	0.752	High
NCIH524_LUNG	0.551	NCIH524	Lung	0.639	High
NCIH526_LUNG	0.612	NCIH526	Lung	0.632	High
NCIH596_LUNG	0.389	NCIH596	Lung	1.286	Low
NCIH647_LUNG	0.399	NCIH647	Lung	1.300	Low
NCIH650_LUNG	0.483	NCIH650	Lung	1.186	Low
NCIH660_PROSTATE	0.436	NCIH660	Prostate	0.780	Low
NCIH661_LUNG	0.738	NCIH661	Lung	1.014	High
NCIH684_LIVER	0.408	NCIH684	Liver	1.050	Low
NCIH69_LUNG	0.850	NCIH69	Lung	0.746	High
NCIH716_LARGE_INTESTINE	0.471	NCIH716	LargeIntestine	0.855	Low
NCIH727_LUNG	0.496	NCIH727	Lung	1.048	Low
NCIH747_LARGE_INTESTINE	0.649	NCIH747	LargeIntestine	1.097	High
NCIH810_LUNG	0.552	NCIH810	Lung	0.606	High
NCIH82_LUNG	0.542	NCIH82	Lung	0.605	High
NCIH838_LUNG	0.742	NCIH838	Lung	1.044	High
NCIH841_LUNG	0.778	NCIH841	Lung	0.802	High
NCIH854_LUNG	0.307	NCIH854	Lung	0.934	Low
NCIH889_LUNG	0.695	NCIH889	Lung	0.659	High
NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.543	NCIH929	Haematpoetic&Lymphoid	0.891	High
NCIN87_STOMACH	0.448	NCIN87	Stomach	0.943	Low
NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.808	NCO2	Haematpoetic&Lymphoid	0.943	High
NH6_AUTONOMIC_GANGLIA	0.614	NH6	A_Ganglia	0.884	High
NHAHTDD_CENTRAL_NERVOUS_SYSTEM	0.562	NHAHTDD	CNS	1.224	High
NIHOVCAR3_OVARY	0.483	NIHOVCAR3	Ovary	0.970	Low
NMCG1_CENTRAL_NERVOUS_SYSTEM	0.428	NMCG1	CNS	1.278	Low
NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.661	NOMO1	Haematpoetic&Lymphoid	0.880	High
NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.575	NUDHL1	Haematpoetic&Lymphoid	0.899	High
NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.890	NUDUL1	Haematpoetic&Lymphoid	0.668	High
NUGC2_STOMACH	0.084	NUGC2	Stomach	1.279	Low
NUGC3_STOMACH	0.566	NUGC3	Stomach	1.276	High
NUGC4_STOMACH	0.400	NUGC4	Stomach	0.934	Low
OAW28_OVARY	0.427	OAW28	Ovary	0.938	Low
OAW42_OVARY	0.568	OAW42	Ovary	1.090	High
OC314_OVARY	0.508	OC314	Ovary	0.915	Low
OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.764	OCIAML2	Haematpoetic&Lymphoid	1.003	High
OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.611	OCIAML3	Haematpoetic&Lymphoid	1.179	High
OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.735	OCIAML5	Haematpoetic&Lymphoid	1.047	High
OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.880	OCILY19	Haematpoetic&Lymphoid	0.763	High
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.673	OCILY3	Haematpoetic&Lymphoid	0.779	High
OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.638	OCIM1	Haematpoetic&Lymphoid	0.875	High
OCIMY5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.578	OCIMY5	Haematpoetic&Lymphoid	0.897	High
OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.546	OCIMY7	Haematpoetic&Lymphoid	0.951	High
OCUM1_STOMACH	0.581	OCUM1	Stomach	1.033	High
OE19_OESOPHAGUS	0.506	OE19	Oesophagus	0.901	Low
OE21_OESOPHAGUS	0.489	OE21	Oesophagus	1.196	Low
OE33_OESOPHAGUS	0.509	OE33	Oesophagus	1.121	Low
OELE_OVARY	0.481	OELE	Ovary	1.254	Low
ONCODG1_OVARY	0.448	ONCODG1	Ovary	0.953	Low
ONS76_CENTRAL_NERVOUS_SYSTEM	0.543	ONS76	CNS	1.241	High
OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.583	OPM1	Haematpoetic&Lymphoid	0.871	High
OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.495	OPM2	Haematpoetic&Lymphoid	0.834	Low
OSRC2_KIDNEY	0.578	OSRC2	Kidney	1.265	High
OUMS23_LARGE_INTESTINE	0.319	OUMS23	LargeIntestine	1.014	Low
OV56_OVARY	0.290	OV56	Ovary	1.254	Low
OV7_OVARY	0.359	OV7	Ovary	1.312	Low
OV90_OVARY	0.547	OV90	Ovary	1.125	High
OVCAR4_OVARY	0.240	OVCAR4	Ovary	1.142	Low
OVCAR8_OVARY	0.633	OVCAR8	Ovary	1.019	High
OVISE_OVARY	0.352	OVISE	Ovary	0.997	Low
OVK18_OVARY	0.544	OVK18	Ovary	0.787	High
OVKATE_OVARY	0.451	OVKATE	Ovary	0.954	Low
OVMANA_OVARY	0.340	OVMANA	Ovary	1.037	Low
OVSAHO_OVARY	0.567	OVSAHO	Ovary	1.077	High
OVTOKO_OVARY	0.580	OVTOKO	Ovary	1.098	High
P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.899	P12ICHIKAWA	Haematpoetic&Lymphoid	0.685	High
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.501	P31FUJ	Haematpoetic&Lymphoid	1.010	Low
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.837	P3HR1	Haematpoetic&Lymphoid	0.676	High
PANC0203_PANCREAS	0.417	PANC0203	Pancreas	1.143	Low
PANC0213_PANCREAS	0.299	PANC0213	Pancreas	1.492	Low
PANC0327_PANCREAS	0.421	PANC0327	Pancreas	1.312	Low
PANC0403_PANCREAS	0.473	PANC0403	Pancreas	1.194	Low
PANC0504_PANCREAS	0.437	PANC0504	Pancreas	1.146	Low
PANC0813_PANCREAS	0.324	PANC0813	Pancreas	1.217	Low
PANC1_PANCREAS	0.691	PANC1	Pancreas	1.105	High
PANC1005_PANCREAS	0.602	PANC1005	Pancreas	1.047	High
PATU8902_PANCREAS	0.520	PATU8902	Pancreas	1.032	Low
PATU8988S_PANCREAS	0.553	PATU8988S	Pancreas	0.890	High
PATU8988T_PANCREAS	0.570	PATU8988T	Pancreas	0.919	High
PC14_LUNG	0.379	PC14	Lung	1.081	Low
PC3_PROSTATE	0.466	PC3	Prostate	1.216	Low
PC9_LUNG	0.552	PC9	Lung	1.097	High
PECAPJ15_UPPER_AERODIGESTIVE_TRACT	0.503	PECAPJ15	UpperAeroDigestiveTract	1.214	Low
PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	0.342	PECAPJ34CLONEC12	UpperAeroDigestiveTract	1.299	Low
PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT	0.278	PECAPJ41CLONED2	UpperAeroDigestiveTract	1.383	Low
PECAPJ49_UPPER_AERODIGESTIVE_TRACT	0.306	PECAPJ49	UpperAeroDigestiveTract	1.391	Low
PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.702	PEER	Haematpoetic&Lymphoid	0.726	High
PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.671	PF382	Haematpoetic&Lymphoid	0.701	High
PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.739	PFEIFFER	Haematpoetic&Lymphoid	0.677	High
PK1_PANCREAS	0.610	PK1	Pancreas	1.099	High
PK45H_PANCREAS	0.433	PK45H	Pancreas	1.134	Low
PK59_PANCREAS	0.440	PK59	Pancreas	1.237	Low
PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.636	PL21	Haematpoetic&Lymphoid	0.954	High
PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.566	PLB985	Haematpoetic&Lymphoid	1.006	High
PLCPRF5_LIVER	0.522	PLCPRF5	Liver	1.109	Low
PRECLH_PROSTATE	0.731	PRECLH	Prostate	1.239	High
PSN1_PANCREAS	0.503	PSN1	Pancreas	1.222	Low
QGP1_PANCREAS	0.411	QGP1	Pancreas	0.752	Low
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.748	RAJI	Haematpoetic&Lymphoid	0.743	High
RCC10RGB_KIDNEY	0.285	RCC10RGB	Kidney	1.184	Low
RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.666	RCHACV	Haematpoetic&Lymphoid	0.817	High
RCM1_LARGE_INTESTINE	0.468	RCM1	LargeIntestine	1.072	Low
RD_SOFT_TISSUE	0.518	RD	SoftTissue	1.021	Low
RDES_BONE	0.720	RDES	Bone	0.743	High
REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.532	REC1	Haematpoetic&Lymphoid	0.886	High
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.748	REH	Haematpoetic&Lymphoid	0.790	High
RERFGC1B_STOMACH	0.438	RERFGC1B	Stomach	1.026	Low
RERFLCAD1_LUNG	0.655	RERFLCAD1	Lung	1.162	High
RERFLCAD2_LUNG	0.440	RERFLCAD2	Lung	1.325	Low
RERFLCAI_LUNG	0.605	RERFLCAI	Lung	1.212	High
RERFLCKJ_LUNG	0.312	RERFLCKJ	Lung	0.937	Low
RERFLCMS_LUNG	0.304	RERFLCMS	Lung	1.446	Low
RERFLCSQ1_LUNG	0.131	RERFLCSQ1	Lung	1.230	Low
RH18_SOFT_TISSUE	0.207	RH18	SoftTissue	1.393	Low
RH30_SOFT_TISSUE	0.480	RH30	SoftTissue	0.947	Low
RH41_SOFT_TISSUE	0.529	RH41	SoftTissue	0.820	High
RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.724	RI1	Haematpoetic&Lymphoid	0.768	High
RKN_SOFT_TISSUE	0.449	RKN	SoftTissue	1.230	Low
RKO_LARGE_INTESTINE	0.727	RKO	LargeIntestine	0.798	High
RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.657	RL	Haematpoetic&Lymphoid	0.613	High
RL952_ENDOMETRIUM	0.596	RL952	Endometrium	0.974	High
RMGI_OVARY	0.480	RMGI	Ovary	1.153	Low
RMUGS_OVARY	0.483	RMUGS	Ovary	1.002	Low
RPMI7951_SKIN	0.199	RPMI7951	Skin	1.221	Low
RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.728	RPMI8226	Haematpoetic&Lymphoid	0.968	High
RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.800	RPMI8402	Haematpoetic&Lymphoid	0.717	High
RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.653	RS411	Haematpoetic&Lymphoid	0.913	High
RS5_FIBROBLAST	0.216	RS5	Fibroblast	1.439	Low
RT112_URINARY_TRACT	0.662	RT112	UrinaryTract	1.039	High
RT4_URINARY_TRACT	0.756	RT4	UrinaryTract	1.007	High
RVH421_SKIN	0.422	RVH421	Skin	0.985	Low
S117_THYROID	0.395	S117	Thyroid	1.213	Low
SALE_LUNG	0.797	SALE	Lung	1.213	High
SAOS2_BONE	0.492	SAOS2	Bone	0.966	Low
SBC5_LUNG	0.581	SBC5	Lung	0.771	High
SCABER_URINARY_TRACT	0.609	SCABER	UrinaryTract	1.379	High
SCC15_UPPER_AERODIGESTIVE_TRACT	0.150	SCC15	UpperAeroDigestiveTract	1.466	Low
SCC25_UPPER_AERODIGESTIVE_TRACT	0.250	SCC25	UpperAeroDigestiveTract	1.457	Low
SCC4_UPPER_AERODIGESTIVE_TRACT	0.331	SCC4	UpperAeroDigestiveTract	1.353	Low
SCC9_UPPER_AERODIGESTIVE_TRACT	0.445	SCC9	UpperAeroDigestiveTract	1.191	Low
SCLC21H_LUNG	0.468	SCLC21H	Lung	0.638	Low
SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.870	SEM	Haematpoetic&Lymphoid	0.832	High
SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.625	SET2	Haematpoetic&Lymphoid	0.874	High
SF126_CENTRAL_NERVOUS_SYSTEM	0.522	SF126	CNS	1.233	Low
SF172_CENTRAL_NERVOUS_SYSTEM	0.557	SF172	CNS	1.129	High
SF268_CENTRAL_NERVOUS_SYSTEM	0.510	SF268	CNS	1.170	Low
SF295_CENTRAL_NERVOUS_SYSTEM	0.519	SF295	CNS	1.349	Low
SF539_CENTRAL_NERVOUS_SYSTEM	0.331	SF539	CNS	1.197	Low
SF767_CERVIX	0.659	SF767	Cervix	1.020	High
SH10TC_STOMACH	0.581	SH10TC	Stomach	1.117	High
SH4_SKIN	0.441	SH4	Skin	1.073	Low
SHP77_LUNG	0.615	SHP77	Lung	0.791	High
SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.802	SIGM5	Haematpoetic&Lymphoid	1.018	High
SIHA_CERVIX	0.420	SIHA	Cervix	1.132	Low
SIMA_AUTONOMIC_GANGLIA	0.618	SIMA	A_Ganglia	0.785	High
SJSA1_BONE	0.641	SJSA1	Bone	1.165	High
SKBR3_BREAST	0.494	SKBR3	Breast	0.922	Low
SKCO1_LARGE_INTESTINE	0.484	SKCO1	LargeIntestine	1.040	Low
SKES1_BONE	0.788	SKES1	Bone	0.738	High
SKHEP1_LIVER	0.594	SKHEP1	Liver	1.245	High
SKLMS1_SOFT_TISSUE	0.294	SKLMS1	SoftTissue	1.236	Low
SKLU1_LUNG	0.703	SKLU1	Lung	1.167	High
SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.723	SKM1	Haematpoetic&Lymphoid	0.985	High
SKMEL1_SKIN	0.757	SKMEL1	Skin	0.885	High
SKMEL24_SKIN	0.445	SKMEL24	Skin	1.331	Low
SKMEL28_SKIN	0.345	SKMEL28	Skin	1.058	Low
SKMEL3_SKIN	0.453	SKMEL3	Skin	0.980	Low
SKMEL30_SKIN	0.588	SKMEL30	Skin	1.008	High
SKMEL31_SKIN	0.230	SKMEL31	Skin	1.227	Low
SKMEL5_SKIN	0.551	SKMEL5	Skin	1.020	High
SKMES1_LUNG	0.426	SKMES1	Lung	1.288	Low
SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.748	SKMM2	Haematpoetic&Lymphoid	0.851	High
SKNAS_AUTONOMIC_GANGLIA	0.495	SKNAS	A_Ganglia	1.039	Low
SKNBE2_AUTONOMIC_GANGLIA	0.513	SKNBE2	A_Ganglia	0.755	Low
SKNDZ_AUTONOMIC_GANGLIA	0.654	SKNDZ	A_Ganglia	0.643	High
SKNEP1_BONE	0.809	SKNEP1	Bone	0.728	High
SKNFI_AUTONOMIC_GANGLIA	0.498	SKNFI	A_Ganglia	0.681	Low
SKNMC_BONE	0.482	SKNMC	Bone	0.849	Low
SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.730	SKNO1	Haematpoetic&Lymphoid	0.876	High
SKNSH_AUTONOMIC_GANGLIA	0.632	SKNSH	A_Ganglia	1.174	High
SKOV3_OVARY	0.480	SKOV3	Ovary	1.138	Low
SKPNDW_BONE	0.772	SKPNDW	Bone	0.678	High
SKRC20_KIDNEY	0.344	SKRC20	Kidney	1.251	Low
SKUT1_SOFT_TISSUE	0.473	SKUT1	SoftTissue	0.929	Low
SLR20_KIDNEY	0.677	SLR20	Kidney	1.066	High
SLR21_KIDNEY	0.470	SLR21	Kidney	1.131	Low
SLR23_KIDNEY	0.530	SLR23	Kidney	1.201	High
SLR24_KIDNEY	0.550	SLR24	Kidney	1.140	High
SLR25_KIDNEY	0.599	SLR25	Kidney	1.167	High
SLR26_KIDNEY	0.418	SLR26	Kidney	1.199	Low
SNB75_CENTRAL_NERVOUS_SYSTEM	0.408	SNB75	CNS	1.233	Low
SNGM_ENDOMETRIUM	0.271	SNGM	Endometrium	1.025	Low
SNU1_STOMACH	0.697	SNU1	Stomach	0.637	High
SNU1033_LARGE_INTESTINE	0.494	SNU1033	LargeIntestine	1.146	Low
SNU1040_LARGE_INTESTINE	0.493	SNU1040	LargeIntestine	0.998	Low
SNU1041_UPPER_AERODIGESTIVE_TRACT	0.314	SNU1041	UpperAeroDigestiveTract	1.223	Low
SNU1066_UPPER_AERODIGESTIVE_TRACT	0.498	SNU1066	UpperAeroDigestiveTract	1.348	Low
SNU1076_UPPER_AERODIGESTIVE_TRACT	0.315	SNU1076	UpperAeroDigestiveTract	1.269	Low
SNU1077_ENDOMETRIUM	0.433	SNU1077	Endometrium	1.181	Low
SNU1079_BILIARY_TRACT	0.387	SNU1079	BiliaryTract	1.108	Low
SNU1105_CENTRAL_NERVOUS_SYSTEM	0.368	SNU1105	CNS	1.270	Low
SNU119_OVARY	0.506	SNU119	Ovary	0.966	Low
SNU1196_BILIARY_TRACT	0.385	SNU1196	BiliaryTract	1.011	Low
SNU1197_LARGE_INTESTINE	0.289	SNU1197	LargeIntestine	1.324	Low
SNU1214_UPPER_AERODIGESTIVE_TRACT	0.196	SNU1214	UpperAeroDigestiveTract	1.181	Low
SNU1272_KIDNEY	0.469	SNU1272	Kidney	1.196	Low
SNU16_STOMACH	0.575	SNU16	Stomach	0.804	High
SNU175_LARGE_INTESTINE	0.612	SNU175	LargeIntestine	0.765	High
SNU182_LIVER	0.359	SNU182	Liver	1.142	Low
SNU201_CENTRAL_NERVOUS_SYSTEM	0.159	SNU201	CNS	1.201	Low
SNU213_PANCREAS	0.325	SNU213	Pancreas	1.217	Low
SNU216_STOMACH	0.451	SNU216	Stomach	0.964	Low
SNU245_BILIARY_TRACT	0.575	SNU245	BiliaryTract	0.893	High
SNU283_LARGE_INTESTINE	0.613	SNU283	LargeIntestine	0.892	High
SNU308_BILIARY_TRACT	0.346	SNU308	BiliaryTract	1.123	Low
SNU324_PANCREAS	0.466	SNU324	Pancreas	1.080	Low
SNU349_KIDNEY	0.257	SNU349	Kidney	1.182	Low
SNU387_LIVER	0.322	SNU387	Liver	1.275	Low
SNU398_LIVER	0.806	SNU398	Liver	0.801	High
SNU407_LARGE_INTESTINE	0.638	SNU407	LargeIntestine	0.900	High
SNU410_PANCREAS	0.432	SNU410	Pancreas	1.205	Low
SNU423_LIVER	0.573	SNU423	Liver	1.244	High
SNU449_LIVER	0.537	SNU449	Liver	1.047	High
SNU46_UPPER_AERODIGESTIVE_TRACT	0.456	SNU46	UpperAeroDigestiveTract	1.195	Low
SNU466_CENTRAL_NERVOUS_SYSTEM	0.222	SNU466	CNS	1.030	Low
SNU475_LIVER	0.411	SNU475	Liver	1.200	Low
SNU478_BILIARY_TRACT	0.583	SNU478	BiliaryTract	1.235	High
SNU489_CENTRAL_NERVOUS_SYSTEM	0.144	SNU489	CNS	1.271	Low
SNU5_STOMACH	0.400	SNU5	Stomach	1.016	Low
SNU503_LARGE_INTESTINE	0.545	SNU503	LargeIntestine	1.015	High
SNU520_STOMACH	0.680	SNU520	Stomach	0.894	High
SNU601_STOMACH	0.496	SNU601	Stomach	1.017	Low
SNU61_LARGE_INTESTINE	0.514	SNU61	LargeIntestine	0.976	Low
SNU620_STOMACH	0.372	SNU620	Stomach	0.934	Low
SNU626_CENTRAL_NERVOUS_SYSTEM	0.309	SNU626	CNS	1.012	Low
SNU668_STOMACH	0.454	SNU668	Stomach	1.115	Low
SNU685_ENDOMETRIUM	0.442	SNU685	Endometrium	1.181	Low
SNU719_STOMACH	0.623	SNU719	Stomach	0.952	High
SNU738_CENTRAL_NERVOUS_SYSTEM	0.585	SNU738	CNS	1.039	High
SNU761_LIVER	0.509	SNU761	Liver	1.123	Low
SNU8_OVARY	0.400	SNU8	Ovary	1.323	Low
SNU81_LARGE_INTESTINE	0.390	SNU81	LargeIntestine	1.063	Low
SNU840_OVARY	0.456	SNU840	Ovary	1.224	Low
SNU869_BILIARY_TRACT	0.313	SNU869	BiliaryTract	1.066	Low
SNU878_LIVER	0.367	SNU878	Liver	1.266	Low
SNU886_LIVER	0.480	SNU886	Liver	1.202	Low
SNU899_UPPER_AERODIGESTIVE_TRACT	0.514	SNU899	UpperAeroDigestiveTract	1.329	Low
SNUC1_LARGE_INTESTINE	0.593	SNUC1	LargeIntestine	0.935	High
SNUC2A_LARGE_INTESTINE	0.503	SNUC2A	LargeIntestine	1.039	Low
SNUC4_LARGE_INTESTINE	0.502	SNUC4	LargeIntestine	1.021	Low
SNUC5_LARGE_INTESTINE	0.631	SNUC5	LargeIntestine	1.140	High
SQ1_LUNG	0.434	SQ1	Lung	1.099	Low
SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.490	SR786	Haematpoetic&Lymphoid	0.973	Low
ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.873	ST486	Haematpoetic&Lymphoid	0.919	High
STM9101_SOFT_TISSUE	0.782	STM9101	SoftTissue	0.717	High
SU8686_PANCREAS	0.137	SU8686	Pancreas	1.319	Low
SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.738	SUDHL1	Haematpoetic&Lymphoid	0.892	High
SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.789	SUDHL10	Haematpoetic&Lymphoid	0.786	High
SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.628	SUDHL4	Haematpoetic&Lymphoid	0.714	High
SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.781	SUDHL5	Haematpoetic&Lymphoid	0.913	High
SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.981	SUDHL6	Haematpoetic&Lymphoid	0.796	High
SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.768	SUDHL8	Haematpoetic&Lymphoid	0.739	High
SUIT2_PANCREAS	0.601	SUIT2	Pancreas	1.134	High
SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.790	SUPB15	Haematpoetic&Lymphoid	0.844	High
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.637	SUPM2	Haematpoetic&Lymphoid	0.855	High
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.916	SUPT1	Haematpoetic&Lymphoid	0.716	High
SUPT11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.788	SUPT11	Haematpoetic&Lymphoid	0.769	High
SW1088_CENTRAL_NERVOUS_SYSTEM	0.466	SW1088	CNS	1.267	Low
SW1116_LARGE_INTESTINE	0.445	SW1116	LargeIntestine	1.212	Low
SW1271_LUNG	0.633	SW1271	Lung	1.154	High
SW1353_BONE	0.394	SW1353	Bone	1.146	Low
SW1417_LARGE_INTESTINE	0.511	SW1417	LargeIntestine	1.234	Low
SW1463_LARGE_INTESTINE	0.492	SW1463	LargeIntestine	1.089	Low
SW1573_LUNG	0.467	SW1573	Lung	1.082	Low
SW1710_URINARY_TRACT	0.595	SW1710	UrinaryTract	1.144	High
SW1783_CENTRAL_NERVOUS_SYSTEM	0.349	SW1783	CNS	1.342	Low
SW1990_PANCREAS	0.608	SW1990	Pancreas	1.197	High
SW403_LARGE_INTESTINE	0.529	SW403	LargeIntestine	1.080	High
SW48_LARGE_INTESTINE	0.551	SW48	LargeIntestine	1.065	High
SW480_LARGE_INTESTINE	0.564	SW480	LargeIntestine	1.132	High
SW579_THYROID	0.413	SW579	Thyroid	1.161	Low
SW620_LARGE_INTESTINE	0.636	SW620	LargeIntestine	0.785	High
SW780_URINARY_TRACT	0.676	SW780	UrinaryTract	1.104	High
SW837_LARGE_INTESTINE	0.537	SW837	LargeIntestine	1.148	High
SW900_LUNG	0.549	SW900	Lung	1.260	High
SW948_LARGE_INTESTINE	0.503	SW948	LargeIntestine	0.858	Low
T173_FIBROBLAST	0.407	T173	Fibroblast	1.318	Low
T24_URINARY_TRACT	0.659	T24	UrinaryTract	1.182	High
T3M10_LUNG	0.616	T3M10	Lung	1.298	High
T3M4_PANCREAS	0.751	T3M4	Pancreas	1.243	High
T47D_BREAST	0.570	T47D	Breast	0.785	High
T84_LARGE_INTESTINE	0.488	T84	LargeIntestine	1.077	Low
T98G_CENTRAL_NERVOUS_SYSTEM	0.415	T98G	CNS	1.261	Low
TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.915	TALL1	Haematpoetic&Lymphoid	0.865	High
TC71_BONE	0.795	TC71	Bone	0.784	High
TCCPAN2_PANCREAS	0.199	TCCPAN2	Pancreas	1.175	Low
